P,M,Run,Time
16,1048576,1,0.997588
16,1048576,2,0.957011
16,1048576,3,0.958049
16,1048576,4,0.897302
16,1048576,5,0.870599
16,262144,1,0.476397
16,262144,2,0.495223
16,262144,3,0.469132
16,262144,4,0.538263
16,262144,5,0.487559
32,1048576,1,1.359206
32,1048576,2,1.356533
32,1048576,3,1.427389
32,1048576,4,1.363026
32,1048576,5,1.251385
32,262144,1,0.813417
32,262144,2,0.820070
32,262144,3,0.821292
32,262144,4,0.856472
32,262144,5,0.868870
8,1048576,1,0.548301
8,1048576,2,0.571938
8,1048576,3,0.592993
8,1048576,4,0.618468
8,1048576,5,0.601536
8,262144,1,0.232316
8,262144,2,0.245411
8,262144,3,0.263878
8,262144,4,0.294452
8,262144,5,0.259494
