P,Size,Run,Time
32,120,1,1.644885
32,120,2,1.909440
32,120,3,1.566336
32,120,4,1.899295
32,120,5,1.937851
32,240,1,11.387431
32,240,2,11.501734
32,240,3,11.542486
32,240,4,11.542514
32,240,5,11.578544
48,120,1,2.212726
48,120,2,2.236864
48,120,3,1.743865
48,120,4,2.204485
48,120,5,2.137112
48,240,1,11.539328
48,240,2,11.702523
48,240,3,12.108406
48,240,4,11.763022
48,240,5,11.733161
64,120,1,2.583924
64,120,2,2.668747
64,120,3,2.660047
64,120,4,2.676350
64,120,5,2.686088
64,240,1,11.797344
64,240,2,11.871709
64,240,3,12.062825
64,240,4,11.937882
64,240,5,11.966374
96,120,1,3.724503
96,120,2,4.456147
96,120,3,4.299190
96,120,4,4.412212
96,120,5,4.498441
96,240,1,12.955610
96,240,2,12.857679
96,240,3,14.081020
96,240,4,12.932636
96,240,5,13.736732
