P,Size,Run,Time
32,120,1,1.787856
32,120,2,2.066786
32,120,3,2.070145
32,120,4,1.985091
32,120,5,2.055232
32,240,1,12.364758
32,240,2,12.408572
32,240,3,12.491499
32,240,4,12.563603
32,240,5,12.547617
48,120,1,1.908344
48,120,2,1.883631
48,120,3,2.272689
48,120,4,1.965550
48,120,5,1.945362
48,240,1,12.326938
48,240,2,12.474414
48,240,3,12.848885
48,240,4,12.839351
48,240,5,12.899654
64,120,1,2.645035
64,120,2,2.741201
64,120,3,2.788851
64,120,4,2.740331
64,120,5,2.785193
64,240,1,12.746142
64,240,2,12.919343
64,240,3,12.890977
64,240,4,12.941094
64,240,5,12.934864
96,120,1,3.889824
96,120,2,4.836511
96,120,3,4.379684
96,120,4,4.379990
96,120,5,4.275504
96,240,1,13.194953
96,240,2,13.595676
96,240,3,14.087252
96,240,4,13.750201
96,240,5,13.935262
